No;ID Postingan BBC;Teks Postingan (Caption BBC);text;Username;Tanggal Komentar
148;1891461241392000000;"Apa saja tuntutan mahasiswa dalam aksi #IndonesiaGelap?

Baca artikelnya:
https://t.co/TLw6JJ3nym";challenge buat apakah akan berani menemui pendemo? jika tidak sepertinya bener2 dia murid teladan dari si guru mulyono;MuhJokoS;Mon Feb 17 15:18:33 +0000 2025
149;1891461241392000000;"Apa saja tuntutan mahasiswa dalam aksi #IndonesiaGelap?

Baca artikelnya:
https://t.co/TLw6JJ3nym";halo ga mau kah kalian, demo bayaran;omjiyun7869;Sat Jun 21 14:06:22 +0000 2025
150;1891461241392000000;"Apa saja tuntutan mahasiswa dalam aksi #IndonesiaGelap?

Baca artikelnya:
https://t.co/TLw6JJ3nym";baca komen di ig isi nya ternakan mulyono semua;gunandarr;Mon Feb 17 14:57:03 +0000 2025
151;1891461241392000000;"Apa saja tuntutan mahasiswa dalam aksi #IndonesiaGelap?

Baca artikelnya:
https://t.co/TLw6JJ3nym";maklum faktor u, kena demensia;CitraNuzula;Tue Feb 18 02:22:40 +0000 2025
152;1891461241392000000;"Apa saja tuntutan mahasiswa dalam aksi #IndonesiaGelap?

Baca artikelnya:
https://t.co/TLw6JJ3nym";pasti ada yg komporin.;Arfine_25;Mon Feb 17 22:49:12 +0000 2025
153;1891461241392000000;"Apa saja tuntutan mahasiswa dalam aksi #IndonesiaGelap?

Baca artikelnya:
https://t.co/TLw6JJ3nym";senang?;Maryani189;Tue Feb 18 03:10:41 +0000 2025
154;1891461241392000000;"Apa saja tuntutan mahasiswa dalam aksi #IndonesiaGelap?

Baca artikelnya:
https://t.co/TLw6JJ3nym";moga di up media luar, biar gemoy tak banyak cakap di luar sana.;maticputih;Mon Feb 17 13:59:32 +0000 2025
155;1891461241392000000;"Apa saja tuntutan mahasiswa dalam aksi #IndonesiaGelap?

Baca artikelnya:
https://t.co/TLw6JJ3nym";akibat dan resiko mayoritas pers media cetak dan eletronik arus utama mendukung jok dog 2014 - 2019 lanjut 2019 - 2024;hamtawindu;Mon Feb 17 14:29:10 +0000 2025
156;1891461241392000000;"Apa saja tuntutan mahasiswa dalam aksi #IndonesiaGelap?

Baca artikelnya:
https://t.co/TLw6JJ3nym";samgat mematikan;Aamahmadqusaeri;Mon Feb 17 14:46:54 +0000 2025
157;1891461241392000000;"Apa saja tuntutan mahasiswa dalam aksi #IndonesiaGelap?

Baca artikelnya:
https://t.co/TLw6JJ3nym";namanya juga mahasewa,ada duit kita demo, gak ada duit gak mau demo;religion_no;Wed Feb 19 00:50:31 +0000 2025
158;1891461241392000000;"Apa saja tuntutan mahasiswa dalam aksi #IndonesiaGelap?

Baca artikelnya:
https://t.co/TLw6JJ3nym";"pemerintahan baru ±100 hari udah bnyak kontolversi dan demo. inikah yg katanya ""yang penting hasilnya""? ndasmu wo.";Akm2384;Mon Feb 17 18:40:42 +0000 2025
159;1891461241392000000;"Apa saja tuntutan mahasiswa dalam aksi #IndonesiaGelap?

Baca artikelnya:
https://t.co/TLw6JJ3nym";kalo mau ngebuzzer minimal pahamin dulu kalimatnya bang;dosepiws;Mon Feb 17 16:34:26 +0000 2025
160;1891461241392000000;"Apa saja tuntutan mahasiswa dalam aksi #IndonesiaGelap?

Baca artikelnya:
https://t.co/TLw6JJ3nym";punya wakil presiden ga becus ngomong, punya presiden ngomong kasar seperti orang jalanan. gelap indonesia;NdesoBocah71;Mon Feb 17 21:34:08 +0000 2025
161;1891461241392000000;"Apa saja tuntutan mahasiswa dalam aksi #IndonesiaGelap?

Baca artikelnya:
https://t.co/TLw6JJ3nym";ndasmu;purple_ungu;Mon Feb 17 18:36:58 +0000 2025
162;1891461241392000000;"Apa saja tuntutan mahasiswa dalam aksi #IndonesiaGelap?

Baca artikelnya:
https://t.co/TLw6JJ3nym";terima kasih bbc;edimyz;Mon Feb 17 14:42:48 +0000 2025
163;1891461241392000000;"Apa saja tuntutan mahasiswa dalam aksi #IndonesiaGelap?

Baca artikelnya:
https://t.co/TLw6JJ3nym";hidup rakyat, hidup mahasiswa;cekresi5689;Mon Feb 17 13:42:30 +0000 2025
164;1891461241392000000;"Apa saja tuntutan mahasiswa dalam aksi #IndonesiaGelap?

Baca artikelnya:
https://t.co/TLw6JJ3nym";kawal terus reformasi.!;FaqihJabo;Mon Feb 17 15:40:37 +0000 2025
165;1891461241392000000;"Apa saja tuntutan mahasiswa dalam aksi #IndonesiaGelap?

Baca artikelnya:
https://t.co/TLw6JJ3nym";bagi soft file posternya dong hehehheh;gummmilangh;Tue Feb 18 06:28:27 +0000 2025
166;1891461241392000000;"Apa saja tuntutan mahasiswa dalam aksi #IndonesiaGelap?

Baca artikelnya:
https://t.co/TLw6JJ3nym";nah loh;NellaSholikha;Sun Mar 09 22:11:48 +0000 2025
167;1891461241392000000;"Apa saja tuntutan mahasiswa dalam aksi #IndonesiaGelap?

Baca artikelnya:
https://t.co/TLw6JJ3nym";ganyambung lol;hongfisip;Mon Feb 17 14:29:04 +0000 2025
168;1891461241392000000;"Apa saja tuntutan mahasiswa dalam aksi #IndonesiaGelap?

Baca artikelnya:
https://t.co/TLw6JJ3nym";janji ga nyenyenye dan nyindir² waktu pidato?;crushlicous;Tue Feb 18 05:15:15 +0000 2025
169;1891461241392000000;"Apa saja tuntutan mahasiswa dalam aksi #IndonesiaGelap?

Baca artikelnya:
https://t.co/TLw6JJ3nym";panjang umur perjuangan;14Kocheng;Tue Feb 18 04:20:22 +0000 2025
170;1891461241392000000;"Apa saja tuntutan mahasiswa dalam aksi #IndonesiaGelap?

Baca artikelnya:
https://t.co/TLw6JJ3nym";adili jokowi;YayatSu93115469;Mon Feb 17 15:18:41 +0000 2025
